class,split,file,source,hash
Buffalo_Banni,test,test\Buffalo_Banni\b17c6cdfe3237973.jpg,Dataset\Buffalo Breeds\Banni\Banni_54.jpg,b17c6cdfe3237973d4606be963985043e7d341dce21b30bf68d9885697ce6c7d
Buffalo_Banni,test,test\Buffalo_Banni\023fca7c6a8e8cea.jpg,Dataset\Buffalo Breeds\Banni\Banni_107.jpg,023fca7c6a8e8ceac3e57449b41a48a64dd86300b7a8d706d7dd4c1f772b9e65
Buffalo_Banni,test,test\Buffalo_Banni\bf5b19ceb646f7ef.jpg,Dataset\Buffalo Breeds\Banni\Banni_10.jpg,bf5b19ceb646f7efcd6f466a5bc181d293144005b4e3d94b8e6f3b76ff14a62e
Buffalo_Banni,test,test\Buffalo_Banni\305fd69f102f5d9c.jpg,Dataset\Buffalo Breeds\Banni\Banni_60.jpg,305fd69f102f5d9ce53101eeba373b33588a8a6f4417996b05f034f80e9751ad
Buffalo_Banni,test,test\Buffalo_Banni\51a9142b272cb72a.jpg,Dataset\Buffalo Breeds\Banni\Banni_94.jpg,51a9142b272cb72aa601d613cf4f0db5f6d5ffb988130a22bc20dea4b8196462
Buffalo_Banni,test,test\Buffalo_Banni\2a3684807e9fa97d.jpg,Dataset\Buffalo Breeds\Banni\Banni_14.jpg,2a3684807e9fa97df3134b632fc97b2986f69658602ca03fc3e57f90a7bf17ad
Buffalo_Banni,test,test\Buffalo_Banni\eccb0a1e1d6493b9.jpg,Dataset\Buffalo Breeds\Banni\Banni_57.jpg,eccb0a1e1d6493b91161bb19d6134bfcb968e6dfc5e56210b78d947bd338ce37
Buffalo_Banni,test,test\Buffalo_Banni\01852c37a3006dd8.jpg,Dataset\Buffalo Breeds\Banni\Banni_62.jpg,01852c37a3006dd88266024172c1ed649cd55693c371c3a9a551b2ba3e83278c
Buffalo_Banni,test,test\Buffalo_Banni\af0f8eda116967a3.jpg,Dataset\Buffalo Breeds\Banni\Banni_79.png,af0f8eda116967a351ad3da607656ea8ff1a995282e1582b38f5b9d3b3239fb4
Buffalo_Banni,test,test\Buffalo_Banni\8ed87cf0abdf60cf.jpg,Dataset\Buffalo Breeds\Banni\Banni_24.jpg,8ed87cf0abdf60cf759fa70c09fa5fb6a2d9958eea5a2066063722485421bd29
Buffalo_Banni,test,test\Buffalo_Banni\66daebb1dd42b25c.jpg,Dataset\Buffalo Breeds\Banni\Banni_78.jpg,66daebb1dd42b25c3ae5a049a3455709ad24eeb0d3602633de4de9f0c56cbe74
Buffalo_Banni,test,test\Buffalo_Banni\51e4ed93aa1058b6.jpg,Dataset\Buffalo Breeds\Banni\Banni_99.jpg,51e4ed93aa1058b650e937768d44c9ab60900d430fcb8f6a528a08a6f4b6654a
Buffalo_Banni,test,test\Buffalo_Banni\5a358871f5978fee.jpg,Dataset\Buffalo Breeds\Banni\Banni_28.jpg,5a358871f5978feec33e60795d84f66c92bebead7427c46bcc44bc21f18aed40
Buffalo_Banni,test,test\Buffalo_Banni\e84e729a21fc2e0c.jpg,Dataset\Buffalo Breeds\Banni\Banni_3.jpg,e84e729a21fc2e0c4f6af0c4242a632521b771e657af164b38b8c411caebbce3
Buffalo_Banni,test,test\Buffalo_Banni\f528c48451b45364.jpg,Dataset\Buffalo Breeds\Banni\Banni_63.jpg,f528c48451b453649b807fa8474af42f5f86fac605ca70ff0baf7cced69c8ad4
Buffalo_Banni,test,test\Buffalo_Banni\ffa47e00ee74aaa5.jpg,Dataset\Buffalo Breeds\Banni\Banni_40.jpg,ffa47e00ee74aaa54276ad02a69b1a22c7be42932b967ce5a8030df59f6ade71
Buffalo_Banni,val,val\Buffalo_Banni\78631c392e833837.jpg,Dataset\Buffalo Breeds\Banni\Banni_55.jpg,78631c392e83383784fea35c24eda3ff4e1d1dff1d3def7f122265e4b9680690
Buffalo_Banni,val,val\Buffalo_Banni\08d59540a8d473a5.jpg,Dataset\Buffalo Breeds\Banni\Banni_76.jpg,08d59540a8d473a5a8fa0c68afd9ded3e5816ce276213d9f2752bb0f899f70ee
Buffalo_Banni,val,val\Buffalo_Banni\dee29dc53b533679.jpg,Dataset\Buffalo Breeds\Banni\Banni_74.jpg,dee29dc53b533679ba641c2c32ef383ea80cbce36444f401dd942174b247ce6b
Buffalo_Banni,val,val\Buffalo_Banni\80caa480792f3fe9.jpg,Dataset\Buffalo Breeds\Banni\Banni_46.jpg,80caa480792f3fe971162834a8b0e1e736089bed116f12fc87d1cc97c9224a4a
Buffalo_Banni,val,val\Buffalo_Banni\5631dde8ce556813.jpg,Dataset\Buffalo Breeds\Banni\Banni_43.jpg,5631dde8ce556813ef7b3611a0e5c4cabe26fcfdeb076bd1d1502fd82b2a6626
Buffalo_Banni,val,val\Buffalo_Banni\b5391aba169046cb.jpg,Dataset\Buffalo Breeds\Banni\Banni_59.jpg,b5391aba169046cb4290265c875f668e6b282d4abf77a2009342b2a1bbb0aa6e
Buffalo_Banni,val,val\Buffalo_Banni\dcba443c58cb57ce.jpg,Dataset\Buffalo Breeds\Banni\Banni_65.jpg,dcba443c58cb57ce44191344c370b617c0e01dbd4a37eb920df5ff0facdb8f45
Buffalo_Banni,val,val\Buffalo_Banni\8204fffa157c2f0f.jpg,Dataset\Buffalo Breeds\Banni\Banni_39.jpg,8204fffa157c2f0f40cff9d29bfebd52a4bbb700bbddeab704f24652aa8a192c
Buffalo_Banni,val,val\Buffalo_Banni\2d0792b8b1bc1504.jpg,Dataset\Buffalo Breeds\Banni\Banni_69.jpg,2d0792b8b1bc150490dc1fecb7fe460dba7fb0e5406a75f95661ee629e6f1e3c
Buffalo_Banni,val,val\Buffalo_Banni\2b96a20d73fb35e3.jpg,Dataset\Buffalo Breeds\Banni\Banni_73.jpg,2b96a20d73fb35e330e05c9894d0ff71112e19ece74e209d209d458a0e625207
Buffalo_Banni,val,val\Buffalo_Banni\2faeec3c506ca0e7.jpg,Dataset\Buffalo Breeds\Banni\Banni_56.jpg,2faeec3c506ca0e7f1d1e05cf675287c3faa602cd75cc2b4dec704ddac443c3a
Buffalo_Banni,val,val\Buffalo_Banni\e7080d7aff35ede8.jpg,Dataset\Buffalo Breeds\Banni\Banni_106.jpg,e7080d7aff35ede813348a689540f3505e2a94901325aec24ff5fe7ef13df5a1
Buffalo_Banni,val,val\Buffalo_Banni\d7c7daeff744f19e.jpg,Dataset\Buffalo Breeds\Banni\Banni_2.jpg,d7c7daeff744f19e923eb7fe63baecd93859eddea33656d11583ca1fa5a511c3
Buffalo_Banni,val,val\Buffalo_Banni\27ae895d3e65655b.jpg,Dataset\Buffalo Breeds\Banni\Banni_34.jpg,27ae895d3e65655b1c3564e7000662481855798de68d4740a00caf6c21b6dc1a
Buffalo_Banni,val,val\Buffalo_Banni\15718cd399254a66.jpg,Dataset\Buffalo Breeds\Banni\Banni_61.JPG,15718cd399254a6644e49c0fe40651692142927441d9741a01af8f0eeab87b8f
Buffalo_Banni,val,val\Buffalo_Banni\d3d09d09ef939767.jpg,Dataset\Buffalo Breeds\Banni\Banni_30.jpg,d3d09d09ef9397678507ecc69caaffe4f58afbd07ad7ba282c0d6c1db4d28398
Buffalo_Banni,train,train\Buffalo_Banni\2f42dbce0e42bd98.jpg,Dataset\Buffalo Breeds\Banni\Banni_108.jpg,2f42dbce0e42bd980f4e157871dbff6ce93ade66ed7a1d9cff712ef081e0c4f2
Buffalo_Banni,train,train\Buffalo_Banni\9ced7253a3c1b501.jpg,Dataset\Buffalo Breeds\Banni\Banni_51.jpg,9ced7253a3c1b501b71ba1ce45522e6db462c4c786add10d3d732b390dadc027
Buffalo_Banni,train,train\Buffalo_Banni\864ec294d85bd7c5.jpg,Dataset\Buffalo Breeds\Banni\Banni_50.jpg,864ec294d85bd7c50c48b96131deea929ba49cb190280610fe0ba57b1791a623
Buffalo_Banni,train,train\Buffalo_Banni\c2e3185688bdb1ba.jpg,Dataset\Buffalo Breeds\Banni\Banni_92.jpg,c2e3185688bdb1ba836c68b68af0b86455b56890e76f458fda060b99312fc6de
Buffalo_Banni,train,train\Buffalo_Banni\fbd5c73da9df0fd4.jpg,Dataset\Buffalo Breeds\Banni\Banni_48.jpg,fbd5c73da9df0fd4c8954670bd9ae8904b981b59b43b7a3c7170b51676bc55fd
Buffalo_Banni,train,train\Buffalo_Banni\afcbd24d1fd63776.jpg,Dataset\Buffalo Breeds\Banni\Banni_104.jpg,afcbd24d1fd637762c17f91789ee4a70784e47a5547456f19a3b96e4dfa2c9b0
Buffalo_Banni,train,train\Buffalo_Banni\8aa5734aa1359501.jpg,Dataset\Buffalo Breeds\Banni\Banni_38.jpg,8aa5734aa1359501122495edf66e06cefe2d56475686429818c79647560b2151
Buffalo_Banni,train,train\Buffalo_Banni\def3967ea58fbb75.jpg,Dataset\Buffalo Breeds\Banni\Banni_53.jpg,def3967ea58fbb75f419048fb20b83fb46fdd6e63eafd790d7bf89e7f1929228
Buffalo_Banni,train,train\Buffalo_Banni\04262c172102e5a6.jpg,Dataset\Buffalo Breeds\Banni\Banni_45.jpg,04262c172102e5a6cd2b967f5a35adc80d1aa1ce3fc4529c99e0fff024dbf507
Buffalo_Banni,train,train\Buffalo_Banni\6e0d5eafab72f2ef.jpg,Dataset\Buffalo Breeds\Banni\Banni_98.jpg,6e0d5eafab72f2ef84638be643f9320d2ff03a60443bcff9ff99368c1e2973cb
Buffalo_Banni,train,train\Buffalo_Banni\8ebc071d66a13ebc.jpg,Dataset\Buffalo Breeds\Banni\Banni_72.jpg,8ebc071d66a13ebcc76543f65ebf81a5dad6dfe2f702938fe92579b9db4e83d9
Buffalo_Banni,train,train\Buffalo_Banni\8c514995cee1062c.jpg,Dataset\Buffalo Breeds\Banni\Banni_84.jpg,8c514995cee1062cd7d6185a6e972c0ded486417fc98163b675e4aed6b9d5197
Buffalo_Banni,train,train\Buffalo_Banni\dc234ddbeb15e5ce.jpg,Dataset\Buffalo Breeds\Banni\Banni_9.jpg,dc234ddbeb15e5cee6ccdfd0d4afa48d842a10cd65a8aaf24244930d985e250d
Buffalo_Banni,train,train\Buffalo_Banni\19bba879068694f0.jpg,Dataset\Buffalo Breeds\Banni\Banni_33.png,19bba879068694f03613b021ee5c95512334d5a1eaf6d692a77dbd02ee2c8625
Buffalo_Banni,train,train\Buffalo_Banni\17c2c579fb4f41d6.jpg,Dataset\Buffalo Breeds\Banni\Banni_21.jpg,17c2c579fb4f41d628ba80144b6a7d19de218ebdf992577dd9217525055fbd54
Buffalo_Banni,train,train\Buffalo_Banni\1540ddfbf4e6a20c.jpg,Dataset\Buffalo Breeds\Banni\Banni_36.jpg,1540ddfbf4e6a20c6b06815fd537d48eed336436787dae009c4e4c52e7d34d96
Buffalo_Banni,train,train\Buffalo_Banni\f053e7b2f2d436f3.jpg,Dataset\Buffalo Breeds\Banni\Banni_37.jpg,f053e7b2f2d436f3339b454f8df8b11fe727d07aae8626069f7b857f72a5c1b0
Buffalo_Banni,train,train\Buffalo_Banni\886bb43ef061d976.jpg,Dataset\Buffalo Breeds\Banni\Banni_17.jpg,886bb43ef061d976d5d9b38f362e6ff307e7974808dc491a7d7dd96ae40c9455
Buffalo_Banni,train,train\Buffalo_Banni\34b2bf77ad109f33.jpg,Dataset\Buffalo Breeds\Banni\Banni_77.jpg,34b2bf77ad109f33a4dc265e7d26c02ee0ea2400fddbb2559e586678e4bdec62
Buffalo_Banni,train,train\Buffalo_Banni\c9e8e5aa8fbdb1a6.jpg,Dataset\Buffalo Breeds\Banni\Banni_103.jpg,c9e8e5aa8fbdb1a6d5ae2f318cd6847c0f9bc59cc9eeab0fd4b6bed0c6569df4
Buffalo_Banni,train,train\Buffalo_Banni\9eb3e2b54b2f6471.jpg,Dataset\Buffalo Breeds\Banni\Banni_22.jpg,9eb3e2b54b2f64715ba8035c0dc6f417c158f39266e834f828a392a3e3106c90
Buffalo_Banni,train,train\Buffalo_Banni\df4403a2559a18c0.jpg,Dataset\Buffalo Breeds\Banni\Banni_105.jpg,df4403a2559a18c03e03b3342103e70c6d20fc770acc4a392120c3838613f0b7
Buffalo_Banni,train,train\Buffalo_Banni\5501dadcd73a3b61.jpg,Dataset\Buffalo Breeds\Banni\Banni_31.JPG,5501dadcd73a3b614bd46fb59542a46a96da32de9d569ebb5fcef2d8179b3ed4
Buffalo_Banni,train,train\Buffalo_Banni\8be40c9909c8f673.jpg,Dataset\Buffalo Breeds\Banni\Banni_80.jpg,8be40c9909c8f673330a551e292eca5d74f588ce24f57bf33f5590d398cf44c9
Buffalo_Banni,train,train\Buffalo_Banni\1ade8a2d59f969eb.jpg,Dataset\Buffalo Breeds\Banni\Banni_42.jpg,1ade8a2d59f969eb9b3f83204efcf015615615bd00aab0ade849fe53cad21b91
Buffalo_Banni,train,train\Buffalo_Banni\615a0f0df5251703.jpg,Dataset\Buffalo Breeds\Banni\Banni_100.jpg,615a0f0df525170354fec5190ff2fdbb3e9bbd3cb6a1ad34ca9b03789421fff9
Buffalo_Banni,train,train\Buffalo_Banni\2ce1fe341cf77b9e.jpg,Dataset\Buffalo Breeds\Banni\Banni_47.jpg,2ce1fe341cf77b9eaf0df7b6f0f7859e771d4560cbaaae109a5bd8059e82bdbd
Buffalo_Banni,train,train\Buffalo_Banni\52f88f448e1e0ff2.jpg,Dataset\Buffalo Breeds\Banni\Banni_15.jpg,52f88f448e1e0ff242796c39dc6b2b7d2c140d061e64630ef98b0e0ac75fbe08
Buffalo_Banni,train,train\Buffalo_Banni\adea758bde3cef3e.jpg,Dataset\Buffalo Breeds\Banni\Banni_35.jpg,adea758bde3cef3e3923f5b8db10b37684184be0e8f5417167ae96ffe82d52db
Buffalo_Banni,train,train\Buffalo_Banni\1c783385d77e675a.jpg,Dataset\Buffalo Breeds\Banni\Banni_20.jpg,1c783385d77e675ab68eb91bce97eba12322517e8924908fbce2f6364346e8e6
Buffalo_Banni,train,train\Buffalo_Banni\581940d44dd832e8.jpg,Dataset\Buffalo Breeds\Banni\Banni_68.jpg,581940d44dd832e83f23d878d6b71fdc7e3510f70e52726fd57cb63362963e46
Buffalo_Banni,train,train\Buffalo_Banni\a4fa3d7d2fa6ace9.jpg,Dataset\Buffalo Breeds\Banni\Banni_41.jpg,a4fa3d7d2fa6ace9d1ccccc076761bc8abfc58617c88bec7fadb2a530e68d404
Buffalo_Banni,train,train\Buffalo_Banni\55e469c6fc935195.jpg,Dataset\Buffalo Breeds\Banni\Banni_11.jpg,55e469c6fc9351954808539b57265b84433fcbfdae7e7224e3f1578bd4dd0c33
Buffalo_Banni,train,train\Buffalo_Banni\2705561135266c91.jpg,Dataset\Buffalo Breeds\Banni\Banni_44.jpg,2705561135266c916be08af740d8d12613e3eaee7a1a782234b9b525e457c15a
